Unnamed: 0,restaurantname,pricerange,area,food,phone,addr,postcode,food_quality,crowdedness,length_of_stay
89,the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,good food,quiet,medium stay
90,zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,fast food,busy,short stay
91,saffron brasserie,expensive,centre,jamaican,,,,fast food,busy,medium stay
92,india house,expensive,west,indian,01223 461661,31 newnham road newnham,,good food,busy,long stay
93,ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,fast food,busy,medium stay
94,rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,good food,busy,medium stay
95,midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,decent,busy,medium stay
96,hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,decent,busy,medium stay
97,darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,fast food,quiet,medium stay
98,pizza express,cheap,centre,spanish,01223 324033,,c.b 2,fast food,busy,medium stay
99,jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,decent,busy,short stay
100,graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,fast food,busy,long stay
101,wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,fast food,quiet,long stay
102,pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,decent,busy,long stay
103,curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,good food,busy,medium stay
104,panahar,expensive,centre,mediterranean,,,,good food,busy,medium stay
105,ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,decent,busy,long stay
106,pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,decent,quiet,long stay
107,sesame restaurant and bar,moderate,,turkish,,,,fast food,quiet,medium stay
108,hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,good food,busy,long stay
